Airport,Hour,AVG
MIA,7,21.42592593
MIA,8,16.17614679
MIA,9,16.54716981
MSP,0,12.88636364
MSP,1,11.5
MSP,10,7.555555556
MSP,11,14.05
MSP,12,19.94019934
MSP,13,25.01253918
MSP,14,15.54
MSP,15,15.67824074
MSP,16,14.47098976
MSP,17,12.81308411
MSP,18,12.07773109
MSP,19,9.379120879
MSP,2,11.33333333
MSP,20,12.77435897
MSP,21,12.75714286
MSP,22,9.596491228
MSP,23,10.90909091
MSP,6,18
MSP,7,7.666666667
MSP,8,8.226865672
MSP,9,7.504854369
OAK,0,24.95512821
OAK,1,23.5625
OAK,13,31.125
OAK,14,30.42105263
OAK,15,31.37037037
OAK,16,32.27272727
OAK,17,35.42222222
OAK,18,29.13829787
OAK,19,22.53225806
OAK,2,9
OAK,20,20.62162162
OAK,21,26.3877551
OAK,22,23.65517241
OAK,23,25.66774194
OAK,3,23
ONT,0,18.6
ONT,22,22.15942029
ONT,23,25.48823529
ONT,3,7
ORD,0,18.15178571
ORD,1,16.98019802
ORD,10,14.30239521
ORD,11,10.44571429
ORD,12,10.29834254
ORD,13,15.14520548
ORD,14,20.14520548
ORD,15,19.23561644
ORD,16,15.96703297
ORD,17,11.87912088
ORD,18,11.90958904
ORD,19,11.15555556
ORD,2,15.23076923
ORD,20,8.918215613
ORD,21,9.066666667
ORD,22,14.34615385
ORD,23,16.45816733
ORD,3,12
ORD,4,16.24460432
ORD,5,14.49583333
ORD,6,13.80351906
ORD,7,14.86666667
ORD,8,13.06876791
ORD,9,18.07803468
PBI,10,1.956521739
PBI,11,14.58522727
PBI,12,9.596590909
PBI,13,7.505747126
PBI,14,3.725352113
PBI,15,4.9
PBI,16,2.368983957
PBI,17,2.788461538
PBI,18,2.935483871
PBI,19,2.952380952
PBI,8,3
PBI,9,4.555555556
PDX,0,16.8
PDX,10,15.45882353
PDX,11,15.39097744
PDX,12,14.40322581
PDX,13,14.66666667
PDX,14,15.3
PDX,15,10.5
PDX,16,13.5
PDX,17,13.9
PDX,18,10.84615385
PDX,19,7.56
PDX,20,10.53398058
PDX,21,22
PDX,22,26.90076336
PDX,23,21.77777778
PDX,5,3
PDX,7,11
PDX,8,17.28813559
PDX,9,16.46405229
PHL,10,10.47826087
PHL,11,11.21875
PHL,12,8.346153846
PHL,13,12.21965318
PHL,14,8.86407767
PHL,15,14.62258953
PHL,16,19.70868347
PHL,17,12.09661836
PHL,18,9.662857143
PHL,19,7.207407407
PHL,20,10.27491409
PHL,21,10.41803279
PHL,22,10.03125
PHL,23,11.66666667
PHL,3,12
PHL,4,28.45833333
PHL,5,21.24468085
PHL,6,21.4516129
PHL,7,27.67464115
PHL,8,26.32867133
PHL,9,20.1
PHX,10,12.64423077
PHX,11,5.674285714
PHX,12,5.200729927
PHX,13,4.579937304
PHX,14,5.763157895
PHX,15,6.437125749
PHX,16,5.275471698
PHX,17,13.81481481
PHX,18,11.17630058
PHX,19,8.955307263
PHX,20,7.053333333
PHX,21,7.777777778
PHX,22,6.375
PHX,23,8
PHX,7,9.96
PHX,8,9.655021834
PHX,9,8.525
RDU,11,13
RDU,13,18.12037037
RDU,14,16.72897196
RDU,15,16.5625
RDU,16,13.26666667
RDU,17,14
RDU,18,14.66666667
RDU,20,15
RDU,23,0
SAN,0,3
SAN,10,13.390625
SAN,11,14.38418079
SAN,12,12.175
SAN,13,2.083333333
SAN,14,12.16666667
SAN,15,4.754658385
SAN,16,5.66536965
SAN,17,8.724137931
SAN,18,13.93170732
SAN,19,15.92307692
SAN,20,7.666666667
SAN,21,12.28571429
SAN,22,2
SAN,8,17.66666667
SAN,9,15.39361702
SAT,0,38
SAT,10,16.75280899
SAT,11,15.196
SAT,12,14.05980066
SAT,13,14.03589744
SAT,14,11.44405594
SAT,15,12.51977401
SAT,16,10.03389831
SAT,17,13.0794702
SAT,18,13.23232323
SAT,19,15.71052632
SAT,20,17.08988764
SAT,21,16.41666667
SAT,22,16.85714286
SAT,4,36
SAT,7,25.5
SAT,8,16.27272727
SAT,9,19.43243243
SEA,0,9
SEA,10,10.05421687
SEA,11,13.57300275
SEA,12,19.34818942
SEA,13,17.9047619
