Airport,Terminal,Date,Hour,Average,Max,p015,p1630,p3145,p4660,p6190,p91120,121Plus,Excluded,Total,Flights,Booths
PBI,Main,1/28/2013,1100 - 1200,15,26,13,15,0,0,0,0,0,1,29,1,1
PBI,Main,1/28/2013,1400 - 1500,2,4,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/28/2013,1600 - 1700,1,2,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/29/2013,0900 - 1000,0,2,13,0,0,0,0,0,0,1,14,1,1
PBI,Main,1/29/2013,1300 - 1400,2,3,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,1/29/2013,1600 - 1700,3,8,27,0,0,0,0,0,0,3,30,2,1
PBI,Main,1/30/2013,0900 - 1000,1,2,6,0,0,0,0,0,0,2,8,1,1
PBI,Main,1/30/2013,1000 - 1100,4,7,7,0,0,0,0,0,0,1,8,1,1
PBI,Main,1/30/2013,1600 - 1700,2,5,20,0,0,0,0,0,0,3,23,2,1
PBI,Main,1/31/2013,0900 - 1000,1,4,14,0,0,0,0,0,0,1,15,1,1
PBI,Main,1/31/2013,1100 - 1200,6,16,25,1,0,0,0,0,0,2,28,2,1
PBI,Main,1/31/2013,1200 - 1300,1,1,4,0,0,0,0,0,0,2,6,1,1
PBI,Main,1/31/2013,1300 - 1400,2,6,14,0,0,0,0,0,0,2,16,2,1
PBI,Main,1/31/2013,1600 - 1700,1,2,27,0,0,0,0,0,0,0,27,2,1
PBI,Main,1/31/2013,1700 - 1800,2,5,7,0,0,0,0,0,0,2,9,1,1
PBI,Main,1/31/2013,1800 - 1900,2,3,8,0,0,0,0,0,0,2,10,1,1
PBI,Main,2/1/2013,0900 - 1000,11,16,16,1,0,0,0,0,0,1,18,1,1
PBI,Main,2/1/2013,1100 - 1200,17,23,4,9,0,0,0,0,0,1,14,1,1
PBI,Main,2/1/2013,1200 - 1300,13,25,9,5,0,0,0,0,0,1,15,1,1
PBI,Main,2/1/2013,1300 - 1400,4,9,20,0,0,0,0,0,0,4,24,2,1
PBI,Main,2/1/2013,1500 - 1600,2,6,15,0,0,0,0,0,0,4,19,2,2
PBI,Main,2/1/2013,1600 - 1700,0,1,10,0,0,0,0,0,0,0,10,1,1
PBI,Main,2/1/2013,1700 - 1800,2,6,12,0,0,0,0,0,0,4,16,2,1
PBI,Main,2/2/2013,0900 - 1000,5,9,14,0,0,0,0,0,0,0,14,1,1
PBI,Main,2/2/2013,1000 - 1100,0,0,8,0,0,0,0,0,0,0,8,1,1
PBI,Main,2/2/2013,1100 - 1200,15,23,12,11,0,0,0,0,0,1,24,1,1
