Airport,Terminal,Date,Hour,Average,Max,p015,p1630,pp3145,p4660,p6190,p91120,p121Plus,Excluded,Total,Flights,Booths
SEA,South Satellite,7/6/2015,1500 - 1600,8,27,367,58,0,0,0,0,0,20,445,2,9
SEA,South Satellite,7/6/2015,1600 - 1700,6,19,280,24,0,0,0,0,0,15,319,3,8
SEA,South Satellite,7/6/2015,1700 - 1800,19,55,304,209,144,28,0,0,0,22,707,3,9
SEA,South Satellite,7/6/2015,1800 - 1900,17,36,95,39,26,0,0,0,0,3,163,1,8
SEA,South Satellite,7/6/2015,1900 - 2000,14,36,158,90,24,0,0,0,0,8,280,1,8
SEA,South Satellite,7/7/2015,0500 - 0600,41,66,0,38,116,53,20,0,0,7,234,1,8
SEA,South Satellite,7/7/2015,0600 - 0700,2,7,51,0,0,0,0,0,0,2,53,1,2
SEA,South Satellite,7/7/2015,0700 - 0800,3,9,59,0,0,0,0,0,0,2,61,1,5
SEA,South Satellite,7/7/2015,0800 - 0900,11,38,188,64,27,0,0,0,0,7,286,2,9
SEA,South Satellite,7/7/2015,0900 - 1000,13,42,349,88,79,0,0,0,0,15,531,2,9
SEA,South Satellite,7/7/2015,1000 - 1100,10,25,348,134,0,0,0,0,0,14,496,2,16
SEA,South Satellite,7/7/2015,1100 - 1200,11,26,451,130,0,0,0,0,0,9,590,2,16
SEA,South Satellite,7/7/2015,1200 - 1300,22,64,452,219,131,128,21,0,0,32,983,4,19
SEA,South Satellite,7/7/2015,1300 - 1400,33,56,66,2,67,78,0,0,0,3,216,1,17
SEA,South Satellite,7/7/2015,1400 - 1500,5,23,327,24,0,0,0,0,0,11,362,2,12
SEA,South Satellite,7/7/2015,1500 - 1600,16,47,219,147,53,5,0,0,0,19,443,2,13
SEA,South Satellite,7/7/2015,1600 - 1700,1,5,48,0,0,0,0,0,0,1,49,1,4
SEA,South Satellite,7/7/2015,1700 - 1800,11,39,352,122,35,0,0,0,0,14,523,3,9
SEA,South Satellite,7/7/2015,1800 - 1900,2,10,160,0,0,0,0,0,0,8,168,1,6
SEA,South Satellite,7/7/2015,1900 - 2000,19,47,160,81,65,7,0,0,0,9,322,1,12
SEA,South Satellite,7/8/2015,0600 - 0700,11,27,164,43,0,0,0,0,0,6,213,2,8
SEA,South Satellite,7/8/2015,0700 - 0800,10,32,207,59,6,0,0,0,0,6,278,2,8
SEA,South Satellite,7/8/2015,0800 - 0900,19,46,154,65,77,3,0,0,0,8,307,2,9
SEA,South Satellite,7/8/2015,0900 - 1000,19,64,294,84,54,63,17,0,0,14,526,2,11
SEA,South Satellite,7/8/2015,1000 - 1100,12,35,307,154,22,0,0,0,0,16,499,2,16
SEA,South Satellite,7/8/2015,1100 - 1200,16,47,306,202,84,5,0,0,0,16,613,2,20
SEA,South Satellite,7/8/2015,1200 - 1300,19,67,486,206,116,67,13,0,0,25,913,4,19
SEA,South Satellite,7/8/2015,1300 - 1400,24,68,210,106,112,34,37,0,0,12,511,2,19
SEA,South Satellite,7/8/2015,1400 - 1500,13,36,173,65,18,0,0,0,0,10,266,2,12
SEA,South Satellite,7/8/2015,1500 - 1600,6,26,497,67,0,0,0,0,0,15,579,3,11
SEA,South Satellite,7/8/2015,1600 - 1700,10,13,53,0,0,0,0,0,0,2,55,1,4
SEA,South Satellite,7/8/2015,1700 - 1800,6,27,442,43,0,0,0,0,0,14,499,2,8
SEA,South Satellite,7/8/2015,1800 - 1900,3,13,149,0,0,0,0,0,0,5,154,1,8
